,Text,Username,Unnamed: 0,Datetime,polarity
92,"The cost of living in 1971:

- Average rent: $150/month
- Gasoline: $0.40 per gallon
- New car: $3,560
- New house: $25,200
- Harvard tuition: $2,600 per year

We systematically devalued our currency and now the world is a lot more expensive 50 years later.",APompliano,37411,2021-08-15 23:05:25+00:00,Neutral
93,"REMINDER: War is a nasty, complicated thing that rarely has simple decisions or solutions.

It is easy to armchair quarterback decisions, either from a policy standpoint or on the battlefield, but don’t be so arrogant.

There are no winners in war.",APompliano,37413,2021-08-15 19:16:44+00:00,Neutral
94,@JacobyBrandon Absolutely true as well,APompliano,37478,2021-08-12 19:23:17+00:00,Neutral
95,"""The only way to deal with an unfree world is to become so absolutely free that your very existence is an act of rebellion."" - Albert Camus",APompliano,37669,2021-08-05 16:42:56+00:00,Neutral
96,"New episode with @MartyBent is live!

He lays out the argument for why ESG may not be as good of an idea as you think, along with why bitcoin is the solution to increasing renewable energy innovation.

This is a must listen. Enjoy! 

https://t.co/mLWkBpFicx",APompliano,37922,2021-07-28 12:18:47+00:00,Neutral
97,"Today's episode of The Best Business Show is going LIVE right now. 

- Tesla
- Bitcoin
- Facebook &amp; metaverse
- Home shortage
- Privacy &amp; tracking data

Then @MartyBent will join us at 12:15p EST to inform the world :)

WATCH NOW: https://t.co/ocHmskBA4c",APompliano,37944,2021-07-27 15:00:49+00:00,Positive
98,"Inflation is a complex problem.

We can’t allow politicians to pretend the solution is to simply spend more money. https://t.co/caFLJCnkQr",APompliano,38028,2021-07-24 23:39:35+00:00,Neutral
99,"Technology makes the world a better place.

We should encourage as many people as possible to create companies, build technology, and solve problems in our society. 

Literally anyone can leverage technology to change the world.",APompliano,38167,2021-07-21 12:57:14+00:00,Neutral
100,"This INFLATEGATE design is absolute 🔥🔥

We can't stop manipulating the market. Market corrections have been banned! Bear markets are outlawed! 

Commemorate this historic period...

BUY NOW: https://t.co/8uDoUkAkoP https://t.co/Zf0UDJCgE4",APompliano,38186,2021-07-20 23:43:56+00:00,Neutral
101,"Jack Dorsey just announced Square is creating a new company.

They will be ""building an open developer platform with the sole goal of making it easy to create non-custodial, permissionless, and decentralized financial services.""

Bitcoin is the main focus. What a legend. https://t.co/fXCW1pkoK5",APompliano,38285,2021-07-15 20:18:48+00:00,Neutral
102,"Goldman Sachs CEO David Solomon just said he believes the recent actions by China will significantly delay a number of US public listings.

Hard to ask investors to invest in your business when no one knows what your home country is going to do next.",APompliano,38341,2021-07-13 20:38:24+00:00,Neutral
103,"The Best Business Show merchandise store is live!

These “Day One” t-shirts and hoodies will only be sold during the month of July, so we’ll always know who was actually there from day one :)

Buy now: https://t.co/5WXIX7EIrY https://t.co/EYtxFT26ia",APompliano,38407,2021-07-12 13:09:33+00:00,Neutral
